mode	scenario	job	max_queue_p99_ms	max_run_p99_ms
affinity-cpu0	graphs	Network:NetworkRate:Device("tun0")	0.311	0.119
affinity-cpu0	graphs	Network:NetworkHistory:Singleton	0.113	0.023
affinity-cpu0	graphs	Memory:MemoryHistory:Singleton	0.096	0.009
affinity-cpu0	graphs	Cpu:CpuHistory:Singleton	0.092	0.026
affinity-cpu0	processes	Disk:Smart:SmartDrive { label: "nvme0n1", object_path: "/org/freedesktop/UDisks2/drives/KINGSTON_SKC2500M82000G_50026B7684E30425" }	0.148	23.525
affinity-cpu0	processes	Discovery:HardwareDiscovery:Inventory(Network)	23.520	1.832
affinity-cpu0	processes	Disk:DiskUsage:Mount("/run/media/bogdan/R_14")	16.199	0.092
affinity-cpu0	processes	Disk:DiskUsage:Mount("/")	9.463	0.045
affinity-cpu0	processes	Network:NetworkIdentity:Singleton	7.734	1.814
affinity-cpu0	processes	Process:PageProcesses:Singleton	0.787	7.663
affinity-cpu0	processes	Disk:Smart:SmartDrive { label: "nvme1n1", object_path: "/org/freedesktop/UDisks2/drives/Samsung_SSD_990_PRO_4TB_S7DPNF0Y500836E" }	1.630	7.149
affinity-cpu0	processes	Discovery:HardwareDiscovery:Inventory(Peripheral)	7.079	0.438
affinity-cpu0	processes	Discovery:MountInventory:Singleton	5.831	0.232
affinity-cpu0	processes	Disk:DiskTemperature:NamedPath { name: "nvme0n1", path: "/sys/class/hwmon/hwmon6/temp1_input" }	0.048	5.144
affinity-cpu0	processes	Network:NetworkRate:Device("tun0")	3.238	0.063
affinity-cpu0	processes	Memory:Memory:Singleton	3.206	0.045
affinity-cpu0	processes	External:Brightness:Singleton	3.122	0.072
affinity-cpu0	processes	Discovery:HardwareDiscovery:Inventory(Smart)	0.027	2.614
affinity-cpu0	processes	Disk:DiskTemperature:NamedPath { name: "nvme1n1", path: "/sys/class/hwmon/hwmon5/temp1_input" }	0.076	1.252
affinity-cpu0	processes	Discovery:HardwareDiscovery:Inventory(DiskIo)	0.664	0.275
affinity-cpu0	processes	Discovery:HardwareDiscovery:Inventory(SystemBattery)	0.055	0.525
affinity-cpu0	processes	Discovery:HardwareDiscovery:Inventory(Cpu)	0.039	0.365
affinity-cpu0	processes	Cpu:Cpu:CpuSources { temperature: Some("/sys/class/hwmon/hwmon10/temp1_input"), frequency: Some("/sys/devices/system/cpu/cpu0/cpufreq/scaling_cur_freq"), turbo: Some("/sys/devices/system/cpu/cpufreq/boost") }	0.297	0.235
affinity-cpu0	processes	Discovery:HardwareDiscovery:Inventory(Thermal)	0.029	0.290
affinity-cpu0	processes	Discovery:HardwareDiscovery:Inventory(Nvidia)	0.120	0.282
affinity-cpu0	processes	Disk:DiskUsage:Mount("/run/media/bogdan/Q_16")	0.176	0.030
affinity-cpu0	processes	Memory:MemoryHistory:Singleton	0.113	0.012
affinity-cpu0	processes	Cpu:CpuHistory:Singleton	0.112	0.032
affinity-cpu0	processes	Disk:DiskUsage:Mount("/run/media/bogdan/T_01")	0.090	0.024
affinity-cpu0	processes	Discovery:HardwareDiscovery:Inventory(Backlight)	0.086	0.010
affinity-cpu0	processes	Network:NetworkHistory:Singleton	0.077	0.032
affinity-cpu0	processes	Discovery:HardwareDiscovery:Inventory(Intel)	0.047	0.040
