implementation	mode	scenario	repetition	window	wall_seconds	user_ticks	system_ticks	child_user_ticks	child_system_ticks	rss_peak_kib	voluntary_context_switches	involuntary_context_switches	child_exec_attempts	successful_child_execs	child_exits_zero	publication_writes	publication_bytes	publication_method
candidate	cpu0	unavailable-service	2	startup	0.160000	0	1	0	0	8904	472	4	3	3	0	2	13585	bounded-stat-poll-0.1s
candidate	cpu0	unavailable-service	2	setup	0.010000	0	0	0	0	0	0	0	0	0	0	0	0	bounded-stat-poll-0.1s
candidate	cpu0	unavailable-service	2	steady	8.020000	1	1	0	0	9160	0	0	0	0	0	9	63276	bounded-stat-poll-0.1s
candidate	cpu0	unavailable-service	3	startup	0.150000	0	1	0	0	8844	472	3	3	3	0	2	13585	bounded-stat-poll-0.1s
candidate	cpu0	unavailable-service	3	setup	0.010000	0	0	0	0	0	0	0	0	0	0	0	0	bounded-stat-poll-0.1s
candidate	cpu0	unavailable-service	3	steady	8.020000	1	0	0	0	9100	0	0	0	0	0	7	53594	bounded-stat-poll-0.1s
candidate	cpu0	timeout	1	startup	0.150000	0	1	0	0	9728	477	3	3	3	0	2	13876	bounded-stat-poll-0.1s
candidate	cpu0	timeout	1	setup	6.100000	1	1	0	0	9728	0	0	2	2	0	4	18085	bounded-stat-poll-0.1s
candidate	cpu0	timeout	1	steady	8.020000	0	0	0	0	9728	6	0	2	2	0	3	14523	bounded-stat-poll-0.1s
candidate	cpu0	timeout	2	startup	0.150000	0	1	0	0	9740	475	3	3	3	0	2	13876	bounded-stat-poll-0.1s
candidate	cpu0	timeout	2	setup	6.090000	1	0	0	0	9740	3	0	2	2	0	3	13244	bounded-stat-poll-0.1s
