implementation	mode	scenario	repetition	window	wall_seconds	user_ticks	system_ticks	child_user_ticks	child_system_ticks	rss_peak_kib	voluntary_context_switches	involuntary_context_switches	child_exec_attempts	successful_child_execs	child_exits_zero	publication_writes	publication_bytes	publication_method
candidate	normal	processes	2	startup	0.140000	0	0	NA:untraced_resource_run	NA:untraced_resource_run	8704	2	3	NA:untraced_resource_run	NA:untraced_resource_run	NA:untraced_resource_run	1	8769	bounded-stat-poll-0.1s
candidate	normal	processes	2	setup	0.070000	0	1	NA:untraced_resource_run	NA:untraced_resource_run	8704	0	0	NA:untraced_resource_run	NA:untraced_resource_run	NA:untraced_resource_run	2	8772	bounded-stat-poll-0.1s
candidate	normal	processes	2	steady	8.020000	2	5	NA:untraced_resource_run	NA:untraced_resource_run	8960	0	0	NA:untraced_resource_run	NA:untraced_resource_run	NA:untraced_resource_run	8	49828	bounded-stat-poll-0.1s
candidate	normal	processes	3	startup	0.130000	0	1	NA:untraced_resource_run	NA:untraced_resource_run	8392	2	0	NA:untraced_resource_run	NA:untraced_resource_run	NA:untraced_resource_run	1	8769	bounded-stat-poll-0.1s
candidate	normal	processes	3	setup	0.070000	0	0	NA:untraced_resource_run	NA:untraced_resource_run	8648	0	0	NA:untraced_resource_run	NA:untraced_resource_run	NA:untraced_resource_run	2	8772	bounded-stat-poll-0.1s
candidate	normal	processes	3	steady	8.020000	2	5	NA:untraced_resource_run	NA:untraced_resource_run	8648	0	0	NA:untraced_resource_run	NA:untraced_resource_run	NA:untraced_resource_run	6	40144	bounded-stat-poll-0.1s
candidate	cpu0	hidden	1	startup	0.140000	0	0	NA:untraced_resource_run	NA:untraced_resource_run	8956	2	1	NA:untraced_resource_run	NA:untraced_resource_run	NA:untraced_resource_run	1	4605	bounded-stat-poll-0.1s
candidate	cpu0	hidden	1	setup	1.130000	0	0	NA:untraced_resource_run	NA:untraced_resource_run	9724	0	0	NA:untraced_resource_run	NA:untraced_resource_run	NA:untraced_resource_run	1	9147	bounded-stat-poll-0.1s
candidate	cpu0	hidden	1	steady	8.020000	1	0	NA:untraced_resource_run	NA:untraced_resource_run	9724	0	0	NA:untraced_resource_run	NA:untraced_resource_run	NA:untraced_resource_run	1	4841	bounded-stat-poll-0.1s
candidate	cpu0	hidden	2	startup	0.140000	0	0	NA:untraced_resource_run	NA:untraced_resource_run	9164	2	1	NA:untraced_resource_run	NA:untraced_resource_run	NA:untraced_resource_run	1	4605	bounded-stat-poll-0.1s
candidate	cpu0	hidden	2	setup	1.120000	0	0	NA:untraced_resource_run	NA:untraced_resource_run	9932	0	0	NA:untraced_resource_run	NA:untraced_resource_run	NA:untraced_resource_run	1	9142	bounded-stat-poll-0.1s
candidate	cpu0	hidden	2	steady	8.010000	1	1	NA:untraced_resource_run	NA:untraced_resource_run	9932	0	0	NA:untraced_resource_run	NA:untraced_resource_run	NA:untraced_resource_run	1	4841	bounded-stat-poll-0.1s
candidate	cpu0	hidden	3	startup	0.140000	0	0	NA:untraced_resource_run	NA:untraced_resource_run	8972	2	3	NA:untraced_resource_run	NA:untraced_resource_run	NA:untraced_resource_run	1	4605	bounded-stat-poll-0.1s
candidate	cpu0	hidden	3	setup	1.130000	0	0	NA:untraced_resource_run	NA:untraced_resource_run	9740	0	0	NA:untraced_resource_run	NA:untraced_resource_run	NA:untraced_resource_run	1	9147	bounded-stat-poll-0.1s
candidate	cpu0	hidden	3	steady	8.020000	1	1	NA:untraced_resource_run	NA:untraced_resource_run	9740	0	0	NA:untraced_resource_run	NA:untraced_resource_run	NA:untraced_resource_run	1	4841	bounded-stat-poll-0.1s
candidate	cpu0	main	1	startup	0.130000	0	0	NA:untraced_resource_run	NA:untraced_resource_run	9672	2	1	NA:untraced_resource_run	NA:untraced_resource_run	NA:untraced_resource_run	1	8769	bounded-stat-poll-0.1s
candidate	cpu0	main	1	setup	0.020000	0	0	NA:untraced_resource_run	NA:untraced_resource_run	0	0	0	NA:untraced_resource_run	NA:untraced_resource_run	NA:untraced_resource_run	0	0	bounded-stat-poll-0.1s
